Integers,Floats
42014,416294.0425035082
25012,638919.931553248
31441,349858.6904115897
78496,795777.949504888
82105,466077.5887145591
88093,820964.6637766338
65027,813826.2114799675
12213,876112.2374145134
64612,81317.45526609923
11733,945435.9635450548
49946,268798.4222498171
4120,923718.1615236683
64854,217655.48974197463
89694,410150.4730192272
63224,743113.3907294307
6181,985968.955793911
86336,488761.85872706264
25554,446719.3293264541
49778,859271.4763899834
57425,979926.5696357035
63928,863375.1269009601
59348,824811.5973138876
68783,643939.7713654086
30112,994568.8982398356
65391,887220.8238925555
24671,540501.4857514999
24867,845437.7931139548
11199,808907.4928292984
95170,714423.2375252245
92250,784611.4316639008
76318,231306.34065469995
90952,273768.20846408623
91639,18520.727703449855
2602,951351.3280273606
71398,899069.3314625276
11805,436011.4970770902
40020,656626.2377625174
36823,922628.8066066173
47738,84352.29336624408
39654,880467.7778145545
66853,515475.812789611
86294,917017.4557368327
63663,366974.1985351996
10380,307913.07711921766
75874,431487.19161718804
87728,336665.49116490234
30801,946668.9790941309
35797,916721.5039174982
41433,439834.129183257
60837,22220.405771221474
98226,351403.57827218773
97867,240080.7530484666
3310,105419.59261472504
4789,575989.2438943204
84783,446969.7888328781
12249,257771.60350326935
55789,883275.3472328203
1424,635694.6092372602
99618,858246.4321327322
15225,823354.2787987104
8758,723315.6286032782
26296,45846.254831716964
8805,116831.13422603847
56893,627041.9748247212
42750,979499.7045409998
23726,320459.982141628
93583,592715.2262976207
41051,933236.8572021758
52338,420850.2528635593
25162,855960.6935925654
25569,801640.065640986
41182,2206.0989300176016
18997,403207.7415530015
9311,18492.90595110072
21209,884013.5647634026
86402,280137.3529439213
89750,877763.1904655994
75023,103855.06939236243
39438,338990.0003632369
83188,647410.4436797114
60736,143542.90226307683
99081,960274.5965837206
83579,676888.7497873717
5575,936997.6300858704
84123,201579.53147068637
47959,69997.68543617151
3609,401907.25732457225
43246,381567.2706466057
28414,322091.61559075024
5547,85248.21867821079
26217,368699.20399560145
11214,127714.30895045734
26712,684304.7031885613
15598,628139.7338861269
48802,576588.1504263041
54660,729006.9276295304
68227,420448.358506242
